platform,address_label,city,zone_type,product_name,product_price,delivery_fee,service_fee,estimated_delivery_minutes,active_promotions,total_final_price,restaurant_name,scrape_timestamp,scrape_success,error_message
Rappi,"Polanco, CDMX",CDMX,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:21:52.211996,True,
Rappi,"Polanco, CDMX",CDMX,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:21:52.212003,True,
Rappi,"Polanco, CDMX",CDMX,Wealthy,Combo,,,,13.0,,,McDonald's,2026-03-29T18:21:52.212005,False,Combo not found
Rappi,"Polanco, CDMX",CDMX,Wealthy,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:21:52.212007,True,
Rappi,"Condesa, CDMX",CDMX,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:22:08.972168,True,
Rappi,"Condesa, CDMX",CDMX,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:22:08.972174,True,
Rappi,"Condesa, CDMX",CDMX,Wealthy,Combo,,,,13.0,,,McDonald's,2026-03-29T18:22:08.972175,False,Combo not found
Rappi,"Condesa, CDMX",CDMX,Wealthy,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:22:08.972177,True,
Rappi,"Roma Norte, CDMX",CDMX,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:22:24.898339,True,
Rappi,"Roma Norte, CDMX",CDMX,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:22:24.898346,True,
Rappi,"Roma Norte, CDMX",CDMX,Wealthy,Combo,,,,13.0,,,McDonald's,2026-03-29T18:22:24.898348,False,Combo not found
Rappi,"Roma Norte, CDMX",CDMX,Wealthy,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:22:24.898350,True,
Rappi,"Coyoacan, CDMX",CDMX,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:22:41.613948,True,
Rappi,"Coyoacan, CDMX",CDMX,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:22:41.613954,True,
Rappi,"Coyoacan, CDMX",CDMX,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:22:41.613956,False,Combo not found
Rappi,"Coyoacan, CDMX",CDMX,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:22:41.613958,True,
Rappi,"Del Valle, CDMX",CDMX,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:22:59.665275,True,
Rappi,"Del Valle, CDMX",CDMX,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:22:59.665281,True,
Rappi,"Del Valle, CDMX",CDMX,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:22:59.665283,False,Combo not found
Rappi,"Del Valle, CDMX",CDMX,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:22:59.665285,True,
Rappi,"Iztapalapa, CDMX",CDMX,Popular,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:23:15.913713,True,
Rappi,"Iztapalapa, CDMX",CDMX,Popular,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:23:15.913719,True,
Rappi,"Iztapalapa, CDMX",CDMX,Popular,Combo,,,,13.0,,,McDonald's,2026-03-29T18:23:15.913721,False,Combo not found
Rappi,"Iztapalapa, CDMX",CDMX,Popular,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:23:15.913723,True,
Rappi,"GAM, CDMX",CDMX,Popular,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:23:34.137329,True,
Rappi,"GAM, CDMX",CDMX,Popular,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:23:34.137334,True,
Rappi,"GAM, CDMX",CDMX,Popular,Combo,,,,13.0,,,McDonald's,2026-03-29T18:23:34.137336,False,Combo not found
Rappi,"GAM, CDMX",CDMX,Popular,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:23:34.137337,True,
Rappi,"San Pedro, Monterrey",Monterrey,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:23:49.447428,True,
Rappi,"San Pedro, Monterrey",Monterrey,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:23:49.447435,True,
Rappi,"San Pedro, Monterrey",Monterrey,Wealthy,Combo,,,,13.0,,,McDonald's,2026-03-29T18:23:49.447437,False,Combo not found
Rappi,"San Pedro, Monterrey",Monterrey,Wealthy,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:23:49.447438,True,
Rappi,"Centro, Monterrey",Monterrey,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:24:06.082400,True,
Rappi,"Centro, Monterrey",Monterrey,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:24:06.082411,True,
Rappi,"Centro, Monterrey",Monterrey,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:24:06.082414,False,Combo not found
Rappi,"Centro, Monterrey",Monterrey,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:24:06.082417,True,
Rappi,"Zapopan, Guadalajara",Guadalajara,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:24:22.900391,True,
Rappi,"Zapopan, Guadalajara",Guadalajara,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:24:22.900397,True,
Rappi,"Zapopan, Guadalajara",Guadalajara,Wealthy,Combo,,,,13.0,,,McDonald's,2026-03-29T18:24:22.900399,False,Combo not found
Rappi,"Zapopan, Guadalajara",Guadalajara,Wealthy,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:24:22.900401,True,
Rappi,"Centro, Guadalajara",Guadalajara,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:24:42.479122,True,
Rappi,"Centro, Guadalajara",Guadalajara,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:24:42.479129,True,
Rappi,"Centro, Guadalajara",Guadalajara,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:24:42.479131,False,Combo not found
Rappi,"Centro, Guadalajara",Guadalajara,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:24:42.479133,True,
Rappi,"Centro, Puebla",Puebla,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:24:59.477838,True,
Rappi,"Centro, Puebla",Puebla,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:24:59.477844,True,
Rappi,"Centro, Puebla",Puebla,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:24:59.477846,False,Combo not found
Rappi,"Centro, Puebla",Puebla,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:24:59.477847,True,
Rappi,"Centro, Merida",Merida,Middle,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:25:15.963634,True,
Rappi,"Centro, Merida",Merida,Middle,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:25:15.963640,True,
Rappi,"Centro, Merida",Merida,Middle,Combo,,,,13.0,,,McDonald's,2026-03-29T18:25:15.963641,False,Combo not found
Rappi,"Centro, Merida",Merida,Middle,Coca-Cola,55.0,,,13.0,,55.0,McDonald's,2026-03-29T18:25:15.963643,True,
Rappi,"Zona Hotelera, Cancun",Cancun,Wealthy,Big Mac,328.0,,,13.0,,328.0,McDonald's,2026-03-29T18:25:33.164242,True,
Rappi,"Zona Hotelera, Cancun",Cancun,Wealthy,McNuggets,277.0,,,13.0,,277.0,McDonald's,2026-03-29T18:25:33.164249,True,
